alpha,beta,train_perplexity,val_perplexity,n_iter,time
0.5,0.5,1.1428255192802637,1.1927169856834772,390,5.9122278690338135
0.5,1.0,1.1429569733048768,1.1926297403095656,378,5.658987760543823
0.5,1.5,1.1430871808158085,1.1925914606684662,369,5.550649166107178
0.5,2.0,1.1431144377052478,1.1922345521711852,371,5.563635587692261
0.5,2.5,1.1432405780840362,1.1920709287940154,359,5.389314889907837
0.5,3.0,1.1433616414573546,1.1931040673730244,414,6.568865776062012
1.0,0.5,1.1093542217040029,1.146186746894531,451,7.077777624130249
1.0,1.0,1.10944166214374,1.1465426997675856,464,7.329644441604614
1.0,1.5,1.1095483749559536,1.146644594668862,463,7.302189350128174
1.0,2.0,1.1096551822711982,1.1468914212192811,462,7.328004360198975
1.0,2.5,1.1097082549985529,1.1478949400438483,500,7.850768089294434
1.0,3.0,1.1098776412220683,1.1472178652500684,455,8.911089658737183
1.5,0.5,1.1113952511970868,1.1234579211106634,500,10.474438428878784
1.5,1.0,1.111525977205488,1.1235506107163218,500,8.939432859420776
1.5,1.5,1.1116830000256397,1.1236747186236733,500,8.894722938537598
1.5,2.0,1.1118825242992258,1.1238463754231176,500,7.614255428314209
1.5,2.5,1.1124163647006808,1.123779094637055,500,7.671405553817749
1.5,3.0,1.1136890584576686,1.125319828994905,500,7.546530485153198
2.0,0.5,1.1185003622382366,1.1269559504815707,407,6.182867765426636
2.0,1.0,1.1170849445265552,1.1270209673674958,437,6.580861330032349
2.0,1.5,1.1166523038797644,1.1266887327631607,500,7.587181568145752
2.0,2.0,1.116613541009776,1.1265225855097982,500,7.6379594802856445
2.0,2.5,1.1165496002069573,1.1263639360266524,500,7.658879041671753
2.0,3.0,1.1165378221013458,1.1263358479653405,500,7.5681962966918945
2.5,0.5,1.121833034654547,1.129175785707204,500,7.522572994232178
2.5,1.0,1.1217401243034033,1.1290556034491266,500,7.609163522720337
2.5,1.5,1.1212469338025026,1.1289820978042555,500,7.527139902114868
2.5,2.0,1.1208889451429662,1.1290575520137334,500,7.599811553955078
2.5,2.5,1.1207728575268587,1.129035492556746,500,7.5413734912872314
2.5,3.0,1.1207501582922104,1.1290155401135216,500,7.556906223297119
3.0,0.5,1.131464005973454,1.1399087770504988,500,7.5910913944244385
3.0,1.0,1.1315576940133973,1.1397979425618754,500,7.601220369338989
3.0,1.5,1.1316215987806295,1.140293639471516,500,7.503807067871094
3.0,2.0,1.1301070885850215,1.1376191347254523,500,7.691900730133057
3.0,2.5,1.1281342604119595,1.1351664835350284,500,7.601144552230835
3.0,3.0,1.1273030092102616,1.134383431547884,500,7.633148431777954
